NAME,COUNTRY,DAY,MONTH,YEAR,ROUTE,NAME OF THE TEAM,LEADER
HUGO R. BARROSO,MEXICO,6,5,1999,S.E. RIDGE,"""",""""
CARLOS G. PEREDA,MEXICO,6,5,1999,S.E. RIDGE,"""",""""
BABU CHHIRI SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
DAWA SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
NIMA DORJE SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
DAWA TEMBA SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
LHAKPA NORBU SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
MR. PEMBA SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
MINGMA CHHIRI SHERPA,NEPAL,6,5,1999,S.E. RIDGE,"""",""""
NIMA GOMBY SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"H.G. VEEREST EXP.
1999",Henry B. Todd
TENJI SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
PASANG DAWA SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
BENEDICT KASHAKAVILI,GEORGIA,12,5,1999,S.E. RIDGE,"EVEREST EXP.
CAUCASUS '99","Benedict
Kashakavili"
BINDZNIA,GEORGIA,12,5,1999,S.E. RIDGE,"""",""""
APHI GIGANI,GEORGIA,12,5,1999,S.E. RIDGE,"""",""""
MS. ELSA AVILA,GEORGIA,12,5,1999,S.E. RIDGE,"""",""""
LEV SARKISOV,ARMENIA,12,5,1999,S.E. RIDGE,"""",""""
KEN NOAUCHI,JAPAN,12,5,1999,S.E. RIDGE,"""",""""
CHHEWANG DORJEE SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
NGAWANG TENJI SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
NIMA WANGCHU SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
KRISHNA B. TAMANG,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
ANG DAWA SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
NGAWANG WANCHU SHERPA,NEPAL,12,5,1999,S.E. RIDGE,"""",""""
MICHAEL SMITH,UK,12,5,1999,S.E. RIDGE,OTT IIND EVEREST EXP,Michael Smith
MARTIN DOYLE,UK,12,5,1999,S.E. RIDGE,"""",""""
AUGUSTO ORTEGA,PERU,12,5,1999,S.E. RIDGE,"""",""""
MRS. KATJA K. STAARTJES,NETHERLANDS,12,5,1999,S.E. RIDGE,"""",""""
GUILLERMO BENEGAS,USA,12,5,1999,S.E. RIDGE,"""",""""
RAY BROWN,AUSTRALIA,12,5,1999,S.E. RIDGE,"H.G. VEEREST EXP
1999",Henry B. Todd
GRAHAM RACTLIFFE,UK,12,5,1999,S.E. RIDGE,"""",""""
MICHAEL TREUMAN,UK,12,5,1999,S.E. RIDGE,"""",""""
GUILLERMO BENEGAS,UK,12,5,1999,S.E. RIDGE,OTT IIND EVEREST EXP,Michael Smith
DAVID TODNEY,CANADA,13,5,1999,S.E. RIDGE,"""",""""
CHRISTOPHER BROWN,UK,13,5,1999,S.E. RIDGE,OTT EVEREST EXP.,Jonathan Tinker
MICHAEL MATHEWS,UK,13,5,1999,S.E. RIDGE,"""",""""
NICOLAS CONSTANTINE,SWITZERLAND,13,5,1999,S.E. RIDGE,"""",""""
NIMA TASHI SHERPA,NEPAL,18,5,1999,S.E. RIDGE,1999 AMERICAN,Peter G. Athans
DA SONA SHERPA,NEPAL,18,5,1999,S.E. RIDGE,"""",""""
CHHEWANG NIMA SHERPA,NEPAL,18,5,1999,S.E. RIDGE,"""",""""
CHARTS N. CORFIELD,USA,18,5,1999,S.E. RIDGE,"""",""""
HEON JU PARK,SOUTH KOREA,16,5,2000,S.E. RIDGE,"2000 KOREAN
7 SUMMITS EXP",Son Joong Ho
SANG HYUNMO,SOUTH KOREA,16,5,2000,S.E. RIDGE,"""",""""
ANDREW SALTER,UK,16,5,2000,S.E. RIDGE,"SAGARMATHA
MILLENNIUM EXP",Gavin Bate
POLLY MURRAY,AUSTRALIA,16,5,2000,S.E. RIDGE,"""",""""
JOHN BARRY,UK,16,5,2000,S.E. RIDGE,"""",""""
JANGBU SHERPA,NEPAL,16,5,2000,S.E. RIDGE,"""",""""
PEMBA GYALGE SHERPA,NEPAL,16,5,2000,S.E. RIDGE,"""",""""
JORDI BAYONA SILVA,SPAIN,16,5,2000,S.E. RIDGE,"EXPEDICIO 2000 AL
EVEREST EXP","Antoni Bahi
Alburquerque"
JOAN BELLMONTE VLANCH,SPAIN,16,5,2000,S.E. RIDGE,"""",""""
TAMDING SHERPA,NEPAL,16,5,2000,S.E. RIDGE,"""",""""
NIMA NORU SHERPA,NEPAL,16,5,2000,S.E. RIDGE,"""",""""
NAZIR AHMAD SABIR,PAKISTAN,17,5,2000,S.E. RIDGE,"MOUNTAIN MADNESS
SAGARMATHA EXP.","Christine Feld
Boskoff"
BENJAMIN M. WEBSTER,CANADA,17,5,2000,S.E. RIDGE,"""",""""
DORJE SHERPA,NEPAL,17,5,2000,S.E. RIDGE,"""",""""
LAKPA GELU SHERPA,NEPAL,17,5,2000,S.E. RIDGE,"""",""""
DORJE SHERPA,NEPAL,17,5,2000,S.E. RIDGE,"""",""""
DA NUROO SHERPA,NEPAL,17,5,2000,S.E. RIDGE,"""",""""
MS. LHAKPA SHERPA,NEPAL,18,5,2000,S.E. RIDGE,"NEPALESE WOMEN
MILLENNIUM EVEREST
EXP.","Ms. Lhakpa
Sherpa"
ANG PHURBA SHERPA,NEPAL,18,5,2000,S.E. RIDGE,"""","Ms. Lhakpa
Sherpa"
ANG PASANG SHERPA,NEPAL,18,5,2000,S.E. RIDGE,"""",""""
ANG MINGMA SHERPA,NEPAL,18,5,2000,S.E. RIDGE,"""",""""
MADA FICH GRANLIEN,DENMARK,20,5,2000,S.E. RIDGE,"THAME & THAME
MOUNTAINEERING TEAM
EVEREST 2000",Gary J. Guller
ASMUS AASTRUP NORRESTLE,DENMARK,20,5,2000,S.E. RIDGE,"""",""""
DAWA CHIRI SHERPA,NEPAL,20,5,2000,S.E. RIDGE,"""",""""
DAWA TEMBA SHERPA,NEPAL,20,5,2000,S.E. RIDGE,"""",""""
NGIMA DAWA SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
BABU CHHIRI SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"SPEED EVEREST IN 16
HRS EXP.","Babu Chhiri
Sherpa"
DAWA SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
RAM KRISHNA SHRESTHA,NEPAL,21,5,2000,S.E. RIDGE,"EVEREST EXPEDITION
2000 AD NEW RECORD","Bhakta Bahadur
Thakuri"
BYRON SMITH,CANADA,21,5,2000,S.E. RIDGE,"TEAM EVEREST 2000
EXP.",Byron Smith
LAKPA TSHERING SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
CHHULDIN SHERPA,NEPAL,21,5,2000,S.E. RIDGE,,
MINGAMA TENZING SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
MINGMA SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
TENZING DORJE SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
NURU WANGCHU SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
KARCHEN DAWA SHERPA,NEPAL,21,5,2000,S.E. RIDGE,"""",""""
PASANG TSHERING SHERPA,NEPAL,22,5,2000,S.E. RIDGE,"""",""""
CHHEWANG DORJE SHERPA,NEPAL,22,5,2000,S.E. RIDGE,"""",""""
MICHAEL BROWN,USA,22,5,2000,S.E. RIDGE,"INT'LMOUNTAIN GUIDES
EVEREST 2000",Patrick Robert Link
DAV A. HOHN,USA,22,5,2000,S.E. RIDGE,"""",""""
TASHI TSHERING SHERPA,NEPAL,22,5,2000,S.E. RIDGE,"""",""""
PHU TASHI SHERPA,NEPAL,22,5,2000,S.E. RIDGE,"""",""""
ANG TSHERING SHERPA,NEPAL,22,5,2000,S.E. RIDGE,"""",""""
MANUEL GONZAIEX DIZA,SPAIN,22,5,2000,S.E. RIDGE,"EXPEDITION ANDALUCIA
EVEREST 2000","Manuel Gonzale
Diaz"
EVAN JARA MURIEL,SPAIN,22,5,2000,S.E. RIDGE,"""",""""
JUAN JOSE FGARRA LORENZO,SPAIN,22,5,2000,S.E. RIDGE,"""",""""
ANDREW LOCK,UK,24,5,2000,S.E. RIDGE,"HG III EVEREST
EXP.USA",Patrick J. Kenny
PAUL FRANK GIORGIO,USA,24,5,2000,S.E. RIDGE,HG I EVEREST EXP,Henry B. Todd
MRS. CHRISTINA F. BOSKOFF,USA,24,5,2000,S.E. RIDGE,"MOUNTAIN MADNESS
SAGARMATHA EXP.","Christina Feld
Boskoff"
DENISH URBKO,KAZAKHSTAN,24,5,2000,S.E. RIDGE,"TEAM EVEREST 2000
EXPD.",Byron Smith
JAMES M. WILLIAMS,USA,24,5,2000,S.E. RIDGE,"2000 EVEREST
ENVIRONMENTAL EXP",Robert H. Hoffman
FRANCOIS SLAKEY,USA,24,5,2000,S.E. RIDGE,"""",""""
"MS. LALY RICHARDSON
LEONARD",USA,24,5,2000,S.E. RIDGE,"""",""""
APPA SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
PEMBA NURU SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
ARITA SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
ANG NIMA SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
LHAKPA CHHIRING SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
PEMBA CHHIRI SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
PASANG THARKE SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
KAMI RITA SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
PEMBA THOTI SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
DAWA JANGBU SHERPA,NEPAL,24,5,2000,S.E. RIDGE,"""",""""
SIMONO MORO,ITALY,24,5,2000,"SOUTH E.
RIDGE","SAGARMATHA
MILLENNIUM EXP",Gavin Bate
RICHARD ALLEN STONE,UK,26,5,2000,"SOUTH E.
RIDGE",HG II EVEREST EXP,A.J. Edington
RICHARD ALLEN,UK,26,5,2000,"SOUTH E.
RIDGE","""",""""
PATRICK J. KENNY,USA,26,5,2000,"SOUTH E.
RIDGE","""",""""
HWAN KOO KIM,SOUTH KOREA,4,10,2000,SOUTH E. RIDGE,KOREAN ULSAN EVEREST EXPD.,Sang Ki Jang
SEONG CHEOL KIM,SOUTH KOREA,4,10,2000,SOUTH E. RIDGE,"""",""""
WOONG-SIK KIM,SOUTH KOREA,4,10,2000,SOUTH E. RIDGE,"""",""""
SUN-DOK HONG,SOUTH KOREA,4,10,2000,SOUTH E. RIDGE,"""",""""
CHEOL-HEE CHO,SOUTH KOREA,4,10,2000,SOUTH E. RIDGE,"""",""""
DAVORIN KAMICAR,SLOVENIA,7,10,2000,SOUTH E. RIDGE,"SLOVENENE EVEREST
EXP2000",Davorin Karnicar
FRANCE ODERLAP,SLOVENIA,7,10,2000,SOUTH E. RIDGE,"""",""""
CHULDIM SHERPA,NEPAL,7,10,2000,SOUTH E. RIDGE,"""",""""
PASANG TENZING SHERPA,NEPAL,7,10,2000,SOUTH E. RIDGE,"""",""""
TADEJ GOLOB,SLOVENIA,9,10,2000,SOUTH E. RIDGE,"""",""""
GREGA LACEN,SLOVENIA,9,10,2000,SOUTH E. RIDGE,"""",""""
MATEJ FLIS,SLOVENIA,9,10,2000,SOUTH E. RIDGE,"""",""""
EMILIO VICENTE L. ALONOS,SPAIN,22,5,2001,"SOUTH
E.RIDGE","CASTELLANO Y
LEONESA EXPD.",Isidoro R. Cubillas
PEDRO RODRIGUEZ ANCHEZ,SPAIN,22,5,2001,"SOUTH
E.RIDGE","""",""""
MARTIN ROMOS GARCIA,SPAIN,22,5,2001,"SOUTH
E.RIDGE","""",""""
VIVIANNE CUQ MAGGI,CHILE,22,5,2001,"SOUTH E.
RIDGE","CHILEAN WOMEN
EVEREST 2001 EXP.","Ms. Vivianne Cuq
Maggi"
CHRISTIAN CUQ MAGGI,CHILE,22,5,2001,"SOUTH E.
RIDGE","""",""""
"MS. CRISTINA ALEJANDRA PRIETO
OVEREM",CHILE,22,5,2001,"SOUTH E.
RIDGE","""",""""
"MS. PATRICIA ANDREA SOTO
BORQUEZE",CHILE,22,5,2001,"SOUTH E.
RIDGE","""",""""
PHILLIPE PEUTER,CHILE,22,5,2001,"SOUTH E.
RIDGE","""",""""
KAME SHERPA,NEPAL,22,5,2001,"SOUTH E.
RIDGE","CHILEAN WOMEN
EVEREST 2001 EXP.","Ms. Vivianne Cuq
Maggi"
CHHONGBA SHERPA,NEPAL,22,5,2001,"SOUTH E.
RIDGE","""",""""
WANGCHHU SHERPA,NEPAL,22,5,2001,"SOUTH E.
RIDGE","""",""""
PHURA DORJE SHERPA,NEPAL,22,5,2001,"SOUTH E.
RIDGE","""",""""
GUILLERMO BENEGAS,USA,23,5,2001,"SOUTH E.
RIDGE","2001 ALPINE
MOUNTAINEERING MOUNT
EVEREST EXP",Guillermo Benegas
JAMES SPARKS,USA,23,5,2001,"SOUTH E.
RIDGE","""",""""
ALEXANDER R. ALLAN,UK,23,5,2001,"SOUTH E.
RIDGE","""",""""
PEMBA RINZI SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
PHANDEN SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
PEMBA GYALZE SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
PEMBA RINZI  SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
NB. SUB. AMAR PRAKASH,INDIA,23,5,2001,"SOUTH E.
RIDGE","INDIAN ARMY EXP. TO
MT.EVEREST",K. Kumar
HAV. MOHINDER SINGH,INDIA,23,5,2001,"SOUTH E.
RIDGE","""",""""
NK. CHANCHAL SINGH,INDIA,23,5,2001,"SOUTH E.
RIDGE","""",""""
LNK. NEEO CHAND,INDIA,23,5,2001,"SOUTH E.
RIDGE","""",""""
PASANG TENDI SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
CAPT. SAURAB SINGH SHEKHAWAT,INDIA,23,5,2001,"SOUTH E.
RIDGE","""",""""
HAV. TILBIKRAM BUDHATOKI,INDIA,23,5,2001,"SOUTH E.
RIDGE","""",""""
SEP. PAIDEN GIACHHO,INDIA,23,5,2001,"SOUTH E.
RIDGE",“,“
NGA TEMBA SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
LHAKPA NURU SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
GRAND DOUGLAS MACLAREN,UK,23,5,2001,"SOUTH E.
RIDGE","EVEREST EXP. 2001
SPRING ""ANYTHING IS
POSSIBLE""","Michael J.
Trueman"
PAUL GIORGION,USA,23,5,2001,"SOUTH E.
RIDGE","""",""""
TUNC FINDIK,TURKEY,23,5,2001,"SOUTH E.
RIDGE","""",""""
RICHARD PAUL O' BRYAN,USA,23,5,2001,"SOUTH E.
RIDGE","""",""""
NIMA GOMBU SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
LHAKPA TEMBA SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
NIMA DORJE SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
PASANG NURBU SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
MIGUEL ALVAREZ MENOR,GERMANY,23,5,2001,"SOUTH E.
RIDGE","EVEREST 2001
FRIENDSHIP
INTERNATIONAL EXP.",Gotz Wiegand
JUIEN GOTZON R. ANTON,SPAIN,23,5,2001,"SOUTH E.
RIDGE","""",""""
CARLOS SORIA FONTAN,GERMANY,23,5,2001,"SOUTH E.
RIDGE","""",""""
JOURG STINGL,GERMANY,23,5,2001,"SOUTH E.
RIDGE","""",""""
FRANCISCO J. GONI LOBERA,SPAIN,23,5,2001,"SOUTH E.
RIDGE","""",""""
THUKTEN DORJE SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
MRS. EDURNE P. LIZARRIBAR,GERMANY,23,5,2001,"SOUTH E.
RIDGE",EVEREST EXP. 2001,Peter Guggemos
IVAN VALLEJO RICAURTA,GERMANY,23,5,2001,"SOUTH E.
RIDGE","""",""""
SILVIO MONDINELLI,CANADA,23,5,2001,"SOUTH E.
RIDGE","STEP STONE EVEREST
EXP..",Ben Webster
HAV. MR. CHHERING N.BODH,INDIA,24,4,2001,"SOUTH E.
RIDGE","INDIAN ARMY EXP. TO
MT.EVEREST",K. Kumar
TENDI SHERPA,NEPAL,24,4,2001,"SOUTH E.
RIDGE","""",""""
MINGMA TSHERING SHERPA,NEPAL,24,4,2001,"SOUTH E.
RIDGE","""",""""
PASANG GELU SHERPA,NEPAL,24,4,2001,"SOUTH E.
RIDGE","""",""""
PASANG SHERPA,NEPAL,24,4,2001,"SOUTH E.
RIDGE","""",""""
JASON EDWARDS,USA,24,5,2001,"SOUTH E.
RIDGE","MOUNTAIN EXPERIENCE
EVEREST EXP.",Jason Edwards
FRANCOIS LANGLOIS,CANADA,24,5,2001,"SOUTH E.
RIDGE","""",""""
DAVID RODNEY,CANADA,24,5,2001,"SOUTH E.
RIDGE","""",""""
DERYL KELLY,CANADA,24,5,2001,"SOUTH E.
RIDGE","""",""""
MAXIMO HENOSTAROZA ZAMBRANO,PERU,24,5,2001,"SOUTH E.
RIDGE","""",""""
DA NURU SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
LHAKPA RITA SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
"TH
AARITA SHERPA",NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
"TH
TENZI SHERPA",NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
NORBU SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
DORJE SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
NGAWANG TENJI SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
PASANG KITAR SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE",“,“
TSHERING DORJE SHERPA,NEPAL,24,5,2001,"SOUTH E.
RIDGE","""",""""
MS. TAMAE WATANABE,JAPAN,16,5,2002,"SOUTH E.
RIDGE","2002 ALPINE ASCENTS
SOUTHCOL EXPEDITION",Stephene Shafter
MRS. SUSAN ERSHER,USA,16,5,2002,"SOUTH E.
RIDGE","""",David Allen Hahn
WILLIAM PRITTIE,USA,16,5,2002,"SOUTH E.
RIDGE","""",William D. Prittie
VERNON EDWARD TEJAS,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
TSERING DORJEE SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
PEMBA RINJEE SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
MINGMA TSERI SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
MICHAEL ROBARTS,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
LUIS BENITEZ,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
LAKPA RITA SHERPA,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
KAMI RITA (THAPKEE) SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
KAMI TIRA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
JOSEPH LEROY,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
CLEVE MC. DONALD,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
CHEWANG NIMA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
ARNOLD WITZING,CANADA,16,5,2002,"SOUTH E.
RIDGE","""",""""
ANG PASANG SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
UM HONG GIL,SOUTH KOREA,16,5,2002,"SOUTH E.
RIDGE","2002 KOREAN EVEREST
EXPD",Um Hong Gil
RA KWAN JU,SOUTH KOREA,16,5,2002,"SOUTH E.
RIDGE","""",""""
PARK MU TAEK,SOUTH KOREA,16,5,2002,"SOUTH E.
RIDGE","""",""""
LEE IN,SOUTH KOREA,16,5,2002,"SOUTH E.
RIDGE","""",""""
STUART SMITH,USA,16,5,2002,"SOUTH E.
RIDGE","2002 ALPINE ASCENTS
SOUTHCOL EXPEDITION",David Allen Hahn
PHIL ERSHER,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
MINGMA TSHERING SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
MINGMA ONGEL SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
EDWARD TEVIS WHEELER,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
DORJE LAMA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
DANURU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
KARMA RITA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
JAMES RURIE NORTON,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
NIM GOMBU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","2002 NATIONAL
GEOGRAPHIC EVEREST
EXP",Peter Athans
KAMI SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
KAME SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
DA JANGBU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
ARITA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
ANG NIMA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
SEAN SWANER,USA,16,5,2002,"SOUTH E.
RIDGE",“,“
PETER HILLARY,NEW ZEALAND,16,5,2002,"SOUTH E.
RIDGE","""",""""
PETER ATHANS,USA,16,5,2002,"SOUTH E.
RIDGE",",,",""""
WILLIAM CHARLES CROUSE,USA,16,5,2002,"SOUTH E.
RIDGE","ADVENTURE CONSULTANT
EVEREST EXPEDITION",William C. Crouse
PASANG TENZING SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
LHAKPA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
HARALDUR OM OLAFSSON,ICELAND,16,5,2002,"SOUTH E.
RIDGE","""",""""
ELLEN ELIZABETH CHUMBLUY MILLER,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
DAVID JOHN HIDDLESTON,NEW ZEALAND,16,5,2002,"SOUTH E.
RIDGE","""",""""
ANG CHHULDIM SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
YVES LAMBERT,SWITZERLAND,16,5,2002,"SOUTH E.
RIDGE","GENEVA EVEREST
1952/2002 EXPEDITION",Stephene Shafter
TASHI WONGCHUK TENZING,AUSTRALIA,16,5,2002,"SOUTH E.
RIDGE","""",""""
STEPHANE SCHAJTER,SWITZERLAND,16,5,2002,"SOUTH E.
RIDGE","""",""""
PHURBA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
PHILLIPPE ARUIS,ARGENTINA,16,5,2002,"SOUTH E.
RIDGE","""",""""
NURU WANCHU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
NORIYUKI MARGGUCHI,JAPAN,16,5,2002,"SOUTH E.
RIDGE","""",""""
NIMA NORBU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
IGOR KHALATIAN,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
GUILAURNE VALLOT,FRANCE,16,5,2002,"SOUTH E.
RIDGE","""",""""
DAWA NURU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
CHHEWANG DORJEE SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
APA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
ANG SONA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
ANG PASANG SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
RANDY PEETERS,USA,16,5,2002,"SOUTH E.
RIDGE","HIMALAYAN GUIDES
EVEREST EXPEDITION",Geoffery Standford
PASANG DAWA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
PASANG CHHIRI SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
MIKE MORRIS,USA,18,5,2002,"SOUTH E.
RIDGE","""",""""
LHAKPA CHHIRI SHERPA,NEPAL,18,5,2002,"SOUTH E.
RIDGE","""",""""
GIMI DORJEE SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
GEOFFREY STANFORD,UK,25,5,2002,"SOUTH E.
RIDGE","""",""""
ZSOLT EROSS,HUNGARY,25,5,2002,"SOUTH E.
RIDGE","""",""""
LASZLO VARKONVI,HUNGARY,25,5,2002,"SOUTH E.
RIDGE","""",""""
ROBERT GERER,AUSTRALIA,25,5,2002,"SOUTH E.
RIDGE","INTERNATIONAL
EVEREST EXPD.",Guillermo Benegas
NGIMA WANGDI SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
NANCHHERI SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
MINGMA CHHIRING SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
MINGMA CHHIRI SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
JASON RODI,CANADA,25,5,2002,"SOUTH E.
RIDGE","""",""""
GUILLERO MA BENEGAS,USA,25,5,2002,"SOUTH E.
RIDGE",“,“
FANDEN SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
CHARLES SCOTTE WOLLUMS,USA,25,5,2002,"SOUTH E.
RIDGE","""",Guillermo Benegas
LHAKPA GELA SHERPA,NEPAL,25,5,2002,"NORMAL
ROUTE","MOUNTAIN MADNESS
EVEREST EXPEDITION","Hector M. Ponce
De Lean Gomez"
JULIO BIRD,USA,25,5,2002,"NORMAL
ROUTE","""",""""
JANGBU SHERPA,NEPAL,25,5,2002,"NORMAL
ROUTE","""",""""
"HECTOR MARK PONCE DE LEAN
GOMEZ",MEXICO,25,5,2002,"NORMAL
ROUTE","""",""""
CHARLES D. FOWLER,USA,25,5,2002,"NORMAL
ROUTE","""",""""
CHULDIM NURU SHERPA,NEPAL,25,5,2002,"NORMAL
ROUTE","""",""""
ALBETO MANGLIANO,ITALY,25,5,2002,"NORMAL
ROUTE","""",""""
LHAKPA CHHIRI SHERPA,NEPAL,25,5,2002,"NORMAL
ROUTE","NEPALESE WOMAN IYM
EXPEDITION","Miss.Pemba Doma
Sherpa"
MISS.PEMBA DOMA SHERPA,NEPAL,25,5,2002,"NORMAL
ROUTE","""",""""
PETER ACKROYD,USA,28,5,2002,"SOUTH WEST
RIDGE","""COWBOYS IN THE
DAMODAR HIMAL EXP.",Peter Ackroyd
JAMES FRUSH,USA,28,5,2002,"SOUTH WEST
RIDGE","""",""""
DAVID HAHN,USA,30,5,2003,S E RIDGE,"2003 IMG EVEREST
EXPD.",David Hahn
GARY JOHNSON,USA,30,5,2003,S E RIDGE,"""",""""
BENJAMIN JOSEPH,USA,30,5,2003,S E RIDGE,"""",""""
